collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Our editors' picks of the freshest finds of the year! Cover: Lil Tecca,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXbDSHGzTpRHX'},https://api.spotify.com/v1/playlists/37i9dQZF1DXbDSHGzTpRHX,37i9dQZF1DXbDSHGzTpRHX,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002487cfbde23e0179f7bcf37d5', 'width': None}]",Fresh Finds Presents... Class of 2019,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3NjAyMzg0OCwwMDAwMDAwNTAwMDAwMTZlZjI1Nzc1ZmYwMDAwMDE2ZWVkNWNlZDU5,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXbDSHGzTpRHX/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DXbDSHGzTpRHX
False,Discover fresh hip-hop releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWW4igXXl2Qkp'},https://api.spotify.com/v1/playlists/37i9dQZF1DWW4igXXl2Qkp,37i9dQZF1DWW4igXXl2Qkp,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002e2d000cca268ff7aa98dd61f', 'width': None}]",Fresh Finds: Fire Emoji,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjczNzM2NywwMDAwMDA3MTAwMDAwMTcwODI3ZmExOTAwMDAwMDE2ZDE1NGQyMjI3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWW4igXXl2Qkp/tracks', 'total': 84}",playlist,spotify:playlist:37i9dQZF1DWW4igXXl2Qkp
False,Fresh Electronic and Dance releases from independent artists and labels every Wednesday.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX6bBjHfdRnza'},https://api.spotify.com/v1/playlists/37i9dQZF1DX6bBjHfdRnza,37i9dQZF1DX6bBjHfdRnza,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000249da3ae6461be3e36db942d7', 'width': None}]",Fresh Finds: Basement,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjczNjQ2MCwwMDAwMDA2ZjAwMDAwMTcwODI3MWM5MmMwMDAwMDE2ZDE1M2Q1ZmZh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6bBjHfdRnza/tracks', 'total': 120}",playlist,spotify:playlist:37i9dQZF1DX6bBjHfdRnza
False,The new sounds that are pushing Latin culture forward.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXagUeYbNSnOA'},https://api.spotify.com/v1/playlists/37i9dQZF1DXagUeYbNSnOA,37i9dQZF1DXagUeYbNSnOA,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/9ae5973cd75a42dce877cdaca1e1e478ac364d34', 'width': None}]",Fresh Finds: Latin,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjA1NzM1MiwwMDAwMDA1NjAwMDAwMTcwNTlmNzZlZGMwMDAwMDE2YWU1MTM4NmY4,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXagUeYbNSnOA/tracks', 'total': 40}",playlist,spotify:playlist:37i9dQZF1DXagUeYbNSnOA
False,Discover fresh R&B/Soul releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWUFAJPVM3HTX'},https://api.spotify.com/v1/playlists/37i9dQZF1DWUFAJPVM3HTX,37i9dQZF1DWUFAJPVM3HTX,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/85a290a35c8050f903dfab6ff44b71959de8d2d1', 'width': None}]",Fresh Finds: The Wave,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjczMzQ3MywwMDAwMDAzZTAwMDAwMTcwODI0NDM3OGMwMDAwMDE2ODk4ZTAyNzU3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWUFAJPVM3HTX/tracks', 'total': 92}",playlist,spotify:playlist:37i9dQZF1DWUFAJPVM3HTX
False,Discover fresh rock releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX78toxP7mOaJ'},https://api.spotify.com/v1/playlists/37i9dQZF1DX78toxP7mOaJ,37i9dQZF1DX78toxP7mOaJ,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002643b1e6d384feea19719ca26', 'width': None}]",Fresh Finds: Six Strings,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjcxODQ2MCwwMDAwMDA3NTAwMDAwMTcwODE1ZjIwYjUwMDAwMDE2ZDAwYzk5OGRj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX78toxP7mOaJ/tracks', 'total': 70}",playlist,spotify:playlist:37i9dQZF1DX78toxP7mOaJ
False,Discover fresh indie releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWT0upuUFtT7o'},https://api.spotify.com/v1/playlists/37i9dQZF1DWT0upuUFtT7o,37i9dQZF1DWT0upuUFtT7o,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/ba210c0cd01a38b58d2a0eedd710864fc9fc4f18', 'width': None}]",Fresh Finds: Index,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjEyNjk4MywwMDAwMDAzZTAwMDAwMTcwNWUxZGU5YzUwMDAwMDE2ODk4ZDkyMDdk,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWT0upuUFtT7o/tracks', 'total': 108}",playlist,spotify:playlist:37i9dQZF1DWT0upuUFtT7o
False,Fresh Pop releases from independent artists and labels every Wednesday.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3u9TSHqpdJC'},https://api.spotify.com/v1/playlists/37i9dQZF1DX3u9TSHqpdJC,37i9dQZF1DX3u9TSHqpdJC,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000021e3bc6e61d046516827e3dd4', 'width': None}]",Fresh Finds: Poptronix,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjczNjQ2MCwwMDAwMDA3NDAwMDAwMTcwODI3MWM5MmMwMDAwMDE2ZDAwYmZmNzQ3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3u9TSHqpdJC/tracks', 'total': 102}",playlist,spotify:playlist:37i9dQZF1DX3u9TSHqpdJC
False,Fresh Country releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWYUfsq4hxHWP'},https://api.spotify.com/v1/playlists/37i9dQZF1DWYUfsq4hxHWP,37i9dQZF1DWYUfsq4hxHWP,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/bb9f0412c681496aa5cb45b5d725f0248e446b2d', 'width': None}]",Fresh Finds: Country,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU3MzA2ODU3NSwwMDAwMDAxNjAwMDAwMTZlNDIzMTkyMjQwMDAwMDE2YWI3NDI2MTFi,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWYUfsq4hxHWP/tracks', 'total': 35}",playlist,spotify:playlist:37i9dQZF1DWYUfsq4hxHWP
False,Fresh Experimental and Ambient releases from independent artists and labels.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8C585qnMYHP'},https://api.spotify.com/v1/playlists/37i9dQZF1DX8C585qnMYHP,37i9dQZF1DX8C585qnMYHP,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000223135be6caf8812a06344bea', 'width': None}]",Fresh Finds: Cyclone,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc0NTE4NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8C585qnMYHP/tracks', 'total': 30}",playlist,spotify:playlist:37i9dQZF1DX8C585qnMYHP
